branch_addr,branch_type,taken,target
0x1ddd9932,conditional_jump,1,0x1ddd9953
0x1ddd995c,conditional_jump,1,0x1ddd9953
0x1ddd995c,conditional_jump,0,0x1ddd9953
0x1ddd993b,conditional_jump,0,0x1ddd995e
0x1ddd994f,conditional_jump,1,0x1ddd995e
0x1ddd994f,conditional_jump,0,0x1ddd995e
0x1ddd9951,direct_jump,1,0x1ddd9941
0x1ddd9968,conditional_jump,0,0x1ddd9928
0x1ddd9977,conditional_jump,0,0x205255d8
0x1ddd9984,direct_call,1,0x1f1c2740
0x1f1c2747,conditional_jump,1,0x1f1c27d2
0x1f1c27d9,conditional_jump,0,0x1f1cb540
0x1f1c27e9,direct_jump,1,0x1f1c2757
0x1f1c27d1,return,1,0x1ddd9989
0x1ddd99bd,conditional_jump,0,0x1ddd99de
0x1ddd99c6,conditional_jump,1,0x1ddd99e9
0x1ddd99f3,conditional_jump,1,0x1ddd99ac
0x1ddd99bd,conditional_jump,1,0x1ddd99de
0x1ddd99e7,conditional_jump,1,0x1ddd99de
0x1ddd99e7,conditional_jump,0,0x1ddd99de
0x1ddd99c6,conditional_jump,0,0x1ddd99e9
